"form","useless","comment"
"0.0","0.0","第二次买了，价格实惠，布料柔软，码数刚刚好，很喜欢，穿着很舒服，满意。"
"0.0","0.0","衣服质量好  穿着舒服 好看。"
"0.0","0.0","跟图片一样，还不错，这个价位买到一件不错的衣服"
"0.0","0.0","性价比很高，这样的价能买到这质量非常不错"
"0.0","0.0","东西质量挺好，就是中间刺绣的地方里面有点扎人，不过里面穿件衣服再穿还是可以的"
"0.0","0.0","衣服非常喜欢，尺码大小刚好，触感不错，清洗没有脱色，很不错。"
"1.0","1.0","此用户没有填写评论!"
"0.0","0.0","颜色很好，质感也超级好"
"0.0","0.0","孩子说像塑料的，布料不好，袖子上还有脏东西。还有衣服味大的很，且买完看到评价发现买贵了"
"0.0","0.0","很暖乎！绝对好评??"
"0.0","0.0","衣服颜色相符，上身效果好。"
"0.0","0.0","物有所值，值得购买衣服跟卖家说的一样   试穿一下很舒服很温暖，值得购买。"
"0.0","0.0","衣服刚到，试了一下感觉还不不错，已经买了第三次了手感很好"
"0.0","0.0","啥话都不说了，一分钱一分货今天刚拿出来穿，还好没穿出去"
"0.0","1.0","衣服很好  啊   不错  值得拥有"
"0.0","1.0","好货不贵经济实惠"
"0.0","0.0","做手工台的，一下买了两件，料子太不经磨了，作为打底第四天表面就起毛了，局部起球。一分钱一分货，价格摆在那。勉强中评！"
"0.0","0.0","我真的不喜欢别人叫我去评论和发好评，发信息打电话打扰我，希望你们以后不要再来打扰我。"
"0.0","0.0","东西收到了，看上去做工真的很不错哦，打开基本没什么味道的，细节方面挺好的，。穿上的时候一点也不会磨肩膀的，一整天穿下来也不会有不舒适的感觉"
"1.0","1.0","此用户没有填写评论!"
"0.0","0.0","衣服收到咯，没想到这么便宜质量还不错呢。里面加了一层薄绒。不是那种薄薄的料子。颜色好看， 显皮肤白。我喜欢宽松的所以拍大一码 挺好的 上身也比较舒服。质量不错    总之很不错   很满意的一次购物啊"
"0.0","0.0","除了做工不太仔细 留有线头其他还是可以的"
"0.0","0.0","买了一件试下，布料不错，很柔软，穿着很舒服，客服推荐的码数刚刚好，谢谢，买值了，又下单买了两件，物美价廉"
"0.0","0.0","也就那么回事 倒是挺厚实的 唉不知道怎么形容也就一般吧"
"0.0","0.0","在这家购买了二次五件没有一件出现品质问题值得信赖，这件是加厚的做工更佳袖子和底围都做了待别处理，总感觉不借。"
"0.0","0.0","做工太差！！！"
"0.0","0.0","穿着身上的线条很不舒服????????"
"0.0","0.0","二次购买，这个羽毛款面料硬，还薄，只能当秋衣。比着鹿角那个薄了一半。这款不值这个价"
"0.0","0.0","衣服收到了，不是棉的，不知道会不会起球。袖子部分很柔软。码数偏小，实在是太不标准，买3xl的，本来要给我弟穿，结果平时穿l或xl的老爹才能穿得。也是醉了，好在不贵，费事退来退去的了。"
"0.0","1.0","还好，就是感觉小了那么一点点"
"0.0","0.0","和描述的一样，手感好，很漂亮的一件衣服大家可以放心买"
"0.0","0.0","10多元买的衣服还可以！布料摸着也舒服，很不错"
"0.0","0.0","衣服穿起来还是很好看的，看起来挺有精神，物流也挺快，这点不错，好评"
"0.0","0.0","上身效果不错，很适合，衣服我很喜欢"
"0.0","0.0","我按照推荐码买的，结果小了。衣服穿着挺舒服，切身，不过是一般的合成材料。衣服造型里面有多余的线条，穿着特别刺挠，不能去掉。我穿第一天就有地方磨的起球了。在家我妈给我洗衣服时候说，你这什么衣服，五块钱都不值。你们不相信我总不会不相信一个有多年与衣服打交道的人吧。一份价钱一分货，淘宝上更是，不要总想着花很少的钱买到比别人好的东西。吃一堑长一智，对于这种货色，我以后直接价格上忽略"
"0.0","0.0","页面上的详情上面，面料成分一栏是空白&mdash;&mdash;以为是纯棉的呢！收货后一看呵呵了！而且还有很长的线头。退货吧，来回好长时间不说，还要搭上六元（北京这边，我们买家快递费，一般首重是15元左右，而运费险最多只赔付9元！），所以，算了吧，扔六块钱和扔十八块钱而已&mdash;&mdash;落个省事得了。"
"0.0","0.0","价格实惠面料超滑！！！还很暖！简单描述就是物美价廉！"
"0.0","0.0","实惠又好穿，就喜欢这种便宜还好看的衣服"
"0.0","0.0","里面的面料也不好，不是加厚的"
"0.0","0.0","收了快递一直没有打开看，今天一打开看到衣服心都凉了半截了，我要的是L码，结果给我寄的是3xL的"
"0.0","0.0","帅帅的，老公穿上挺好的。建议卖家可以再做厚点，更暖和。客服大大很好，很耐心，有需要还会再来。"
"0.0","0.0","怎么讲，物流飞快飞快的，衣服就是一分钱一分货吧，跟图片可能有点差距哦，反正穿在里面，习惯好评，这个价格还能奢求什么呢，呵呵哈哈哈"
"0.0","0.0","衣服有股很大的刺鼻的味道，不能穿，垃圾，扔掉了"
"0.0","0.0","买来当工作服还没开始穿不知道质量怎么样，看起来还可以！好与不好不重要，重点是这么便宜的衣服上那买去，必须好评！"
"0.0","0.0","便宜，没穿，应该不好"
"0.0","0.0","衣服摸着质量挺好的，手感不错"
"0.0","0.0","买来都没穿就放着了，本来是想给个中评的，发现是天猫只能给个一星了，十几块钱的衣服我也不想多说什么，刷这么的好评实在是过分，现在套路真的很深啊，建议大家还是换家店买。"
"0.0","1.0","质量挺好，建议大家购买"
"0.0","0.0","好大呀，最小码都那么大什么穿"
"0.0","0.0","打开包裹摸着衣服的一刻心里凉凉的，顺手就丢垃圾桶了。原来便宜真的没好货，好货不便宜。这是淘宝购物中最差的一次商品，影响心情！"
"0.0","0.0","不要再给我打电话了 算我求你  如你所愿 我来评论了  衣服很好看 很凉快 衣服边边的洞洞很潮流 很个性！！！"
"0.0","0.0","感觉不错，物超所值啊，而且样式新颍，下次还会光顾。"
"0.0","0.0","衣服不错 本人176 大家要买就买XXL码 才合身"
"0.0","0.0","衣服稍微短小一点，穿着漏风，不过不到20块的东西，就懒得换了！"
"0.0","0.0","都还可以，没有他们口中说的袖口不好！"
"1.0","0.0","很好看，面料也可以。质量没发现问题，棒棒哒。价格实惠，性价比很高的。推荐大家购买"
"0.0","0.0","衣服收到了，穿着还可以"
"0.0","0.0","质量非常好的，穿着很舒服，好评！"
"0.0","0.0","嗯，总体来说不错衣服挺喜欢的&hellip;料子用的那种类似于仿太空棉的，没洗穿着有点扎人，建议还是先洗了外穿比较好"
"0.0","0.0","宝贝不错，做工很到位，赞"
"0.0","0.0","质量还算可以，价格也还行。第一次在这家店买，店家服务很好。穿上也会觉得很时尚。非常满意的一次购物。"
"0.0","0.0","物流速度很快，包装很完整，衣服很合身，穿上也很舒服，布料质量也很好，很愉快的一次购物！"
"0.0","0.0","做工粗糙，别的还好"
"0.0","1.0","可以，便宜，划算。"
"0.0","0.0","衣服面料很好，做工精致。"
"0.0","0.0","质量非常好，物流也相当快，第二天就到了，已经是第二次来这里买，下次继续来买??"
"0.0","0.0","布料还好，手感摸上去柔软"
"1.0","1.0","此用户没有填写评论!"
"1.0","1.0","终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！"
"1.0","1.0","当你看到这个的时候，证明，这种衣服很nice，不单评价，统一评价，衣服合适，性比价可以了。啊啊啊啊啦啦啦啦，可以了吧"
"0.0","0.0","非常舒服，穿的很好，建议大家多买买。"
"0.0","0.0","实在抱歉，衣服收到这么久才来评价，衣服我穿着刚刚好，布料也不错，不像那种穿几天就起毛起球的，已经穿了几天了挺好的，版型、颜色、印花，我都很满意，衣服挂柜子里了，拍个照麻烦所以就不晒图了。后期有需要还会再来的，祝店家生意兴隆。"
"0.0","0.0","淘友们注意了，我终于知道什么叫一分钱一分货。这色差差到脚后跟去了"
"0.0","0.0","收到了  很好  第二次购买  好看"
"0.0","1.0","挺忙的"
"0.0","0.0","挺好的 很划算 值得购买 物流也挺快 穿上挺符合我性格，继续加油 值得购买"
"0.0","0.0","不多说，不脱毛不掉线，好看很暖"
"0.0","0.0","色差也太大了衣袖黑色变灰土色凑合穿吧"
"0.0","0.0","非常非常暖和，这个冬天再也不用担心感冒。药店再也挣不了我的钱。"
"1.0","1.0","此用户没有填写评论!"
"0.0","0.0","线头质量太差，稍微用点力就掉线了，还不能退。"
"0.0","0.0","衣服收到了，价格很便宜，感觉还行"
"0.0","0.0","衣服很好。我喜欢！双12快到了我在来买几衣服"
"0.0","0.0","色差太大，，味道特别大，，，"
"0.0","0.0","太便宜了，双十一买的，实在不想退回去，他让我点评，就送他一个评论吧，我都快忘了"
"0.0","0.0","刚收到货，打开一看质量不错，花纹也很个性，适合年轻人穿好评??"
"0.0","0.0","才打开的就这个样子 一星都不想给"
"0.0","0.0","我要买的是灰白相间的衣服。到货后发现是绿白相间的？？？衣服质量不错很喜欢，客服人也很好，帮我推荐最适合我的码，穿上也很合身很喜欢，但是实物和突然一点都不同。让我很不爽，虽说绿白相间的我觉得也可以，但是发错货了，不是我想要的就让人很不舒服??"
"0.0","0.0","比正常稍微有点小，比较紧身，还有就是脖子上有点紧"
"0.0","1.0","不错的，良心卖家，大力推荐，好评，好评好评好评好评好评"
